user_id,order_id,order_date,order_status
2798,fb6efd82-11dc-4b6a-8b51-9cdca5e95cef,2022-04-05 21:59:16,Processing
9902,f8498ac2-8d07-4315-a1b9-c328ac69e33f,2022-03-23 01:22:10,Processing
1723,70e488f1-cb48-438a-9979-fa4a5de743c0,2022-03-11 21:21:03,Processing
4811,97e6696b-07ee-46d2-a0fc-0311e40c9664,2022-04-09 16:21:30,Shipped
2629,4d50449c-be0f-4166-93c4-32cc612de4d6,2022-04-09 04:57:08,Cancelled
8681,8cb473c8-09ed-48e2-9cb4-856439e5465c,2022-03-20 23:50:06,Delivered
899,c43b2749-4330-4780-946e-b51264ff0d6e,2022-03-28 07:39:32,Processing
2799,8975c0bc-9b92-4c13-a721-7ccd418dd34e,2022-04-05 22:29:23,Shipped
3808,d08117d1-c04a-4618-a548-595e28ab7953,2022-03-19 15:02:57,Shipped
2470,6a9c811d-ab5e-4d22-8591-8a63a9be02dc,2022-03-11 04:44:27,Processing
8513,e620a289-b4a4-4251-8cc9-995871ca0822,2022-03-16 19:18:49,Delivered
6332,49f78470-8e3e-437e-8eab-723a69f1a4b3,2022-04-09 17:44:19,Pending
4149,60310f8b-e4ce-48d8-ad27-cf43a1de3ac3,2022-03-29 05:28:26,Delivered
8356,d594ca98-55ee-460e-9e6e-ac1f5aa8b7c2,2022-03-17 04:54:30,Processing
4195,1e28b9b3-b225-433c-bef7-c5e15cbe1bdd,2022-04-09 00:29:06,Processing
446,2ea8b65e-f5ad-4d98-b559-3245006a1d59,2022-03-11 18:55:21,Processing
9032,8a10b6d6-da69-49f7-a4dd-821504a56c5f,2022-04-05 01:44:13,Delivered
9948,2256eacb-e07c-4c07-91d9-f078478dc05c,2022-04-04 07:37:21,Processing
7167,5d9c9f4c-1517-49c8-bd65-114a024ac2c8,2022-03-27 15:38:30,Cancelled
3708,c46a596a-9298-4e8e-8e42-a0a380fabc2c,2022-03-21 23:24:26,Pending
8240,cd4e0189-2220-4f95-86ed-98dc6ba4b602,2022-03-28 14:42:43,Pending
3797,d76da26c-d785-44c1-8e95-e9396add59dd,2022-04-06 07:34:58,Delivered
6307,8e845fdf-8622-4d68-a6da-134dfb0f713d,2022-03-28 05:55:25,Processing
8016,e37d15a3-f736-44c9-aa38-593ee1fdba62,2022-03-31 03:02:51,Pending
8677,615b054a-0e85-4514-bf70-cd279de8007b,2022-03-20 08:20:37,Shipped
1931,8c9a32f8-195d-4416-98e1-a32242a65af2,2022-04-04 21:40:03,Pending
1336,051720fe-8c03-43ea-99bb-58a57453db21,2022-04-09 00:37:35,Cancelled
3299,761923f3-979e-4bac-bf1c-96db3a2e7095,2022-03-24 21:39:59,Pending
1044,ee5c8ed7-284c-43f4-aa9d-ae2f51622344,2022-04-04 01:01:20,Cancelled
3031,c98f8e5e-43a8-4402-ae6c-7d0a6b578085,2022-03-27 21:48:07,Processing
1321,d666bab7-f58f-445d-a493-a4b3f4b0c881,2022-03-25 02:59:57,Processing
9676,6376612e-4f2d-4624-9f33-478d33301a2b,2022-03-15 20:49:16,Cancelled
6069,19d062e3-2cb2-4566-95da-ab00258fe011,2022-03-26 08:03:43,Cancelled
9593,2bb4abd4-4b81-42f9-ac68-929bbac44263,2022-03-21 22:46:11,Pending
7450,be9eddfb-2312-4304-bb7f-821d9d3b688f,2022-03-29 01:28:24,Cancelled
3970,03fbdd56-5696-4fe7-bada-2f8ccde7b357,2022-03-22 04:10:29,Delivered
6753,49e76cbe-3b4d-487b-bd95-c6fe24988912,2022-03-27 09:16:10,Delivered
2141,a4e65ee6-dd42-4d89-9117-34c63e07e0f2,2022-03-12 01:54:20,Pending
7964,0d01a701-ab45-4784-8b1f-7f921b3079cb,2022-04-04 18:08:11,Delivered
8565,7aef18b3-bf76-444f-a88b-0f79ce15555f,2022-03-21 05:19:21,Processing
2790,dca8c291-b9d5-4a93-b737-62443a21dc87,2022-04-01 18:11:15,Pending
8358,b17598d0-bdc8-48f9-9e08-8b9cd9a35093,2022-04-05 10:43:03,Delivered
2804,5ecb7ce9-6429-4fab-9ca7-6cd3af38eb5b,2022-04-01 05:26:49,Cancelled
3463,90b034b5-37f2-4074-9ba3-034b5df3b323,2022-03-19 06:31:44,Cancelled
6449,ad5589e6-e14b-4d3d-bb5e-5640b6de7bec,2022-03-22 17:52:32,Shipped
7566,00053da4-7488-4e12-b845-5fc888718155,2022-03-18 18:51:34,Pending
1035,f90a0490-7225-4edc-80a2-d7789f714858,2022-03-14 00:08:46,Cancelled
7386,d3f82641-cdad-48f2-91fc-67f454ffb2e1,2022-04-03 23:30:15,Delivered
61,8b74fa9e-9df3-4645-9074-d40f34234f3d,2022-03-29 01:37:29,Processing
1556,bf0401bf-0934-4c96-b042-281171fec3ee,2022-04-01 01:15:52,Shipped
3898,f7bddf24-c33c-45af-9093-62789741a095,2022-03-10 21:06:19,Processing
9636,22824768-b405-4ebd-b72a-92331b135c60,2022-03-15 17:30:03,Shipped
