Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,477,1,1100.0,1701.0743037736313,101.89860000173212,52607.682699999714,245.79245283018867,1.5218181375566904,0.0031903944183578415,1100,1400,1500,1700,2300,3000,3800,10000,53000,53000,53000
GET,/orders?user_id=1008,6,0,6300.0,7280.791266666104,5608.826300001965,10193.584999997256,1769.0,0.019142366510147047,0.0,7500,7500,8300,8300,10000,10000,10000,10000,10000,10000,10000
PUT,/orders?user_id=1021&order_date=2022-04-11+20%3A00%3A51,1,0,49.74990000118851,49.74990000118851,49.74990000118851,49.74990000118851,4.0,0.0031903944183578415,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/orders?user_id=1174&order_date=2022-04-11+20%3A01%3A32,1,0,1307.0763999967312,1307.0763999967312,1307.0763999967312,1307.0763999967312,4.0,0.0031903944183578415,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,/orders?user_id=1174&order_date=2022-04-11+20%3A01%3A35,1,0,3477.461900001799,3477.461900001799,3477.461900001799,3477.461900001799,4.0,0.0031903944183578415,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
PUT,/orders?user_id=1181&order_date=2022-04-11+20%3A02%3A17,1,0,1765.210900000966,1765.210900000966,1765.210900000966,1765.210900000966,4.0,0.0031903944183578415,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/orders?user_id=1215,2,0,4736.430000000837,5448.208849998991,4736.430000000837,6159.987699997146,4027.0,0.006380788836715683,0.0,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
GET,/orders?user_id=1255,7,0,8300.0,8826.260585715188,7873.070500001631,10509.201500000927,11149.0,0.022332760928504888,0.0,8300,9000,10000,10000,11000,11000,11000,11000,11000,11000,11000
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A02%3A24,1,0,2485.7636999986426,2485.7636999986426,2485.7636999986426,2485.7636999986426,4.0,0.0031903944183578415,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
PUT,/orders?user_id=128&order_date=2022-04-11+20%3A02%3A28,1,0,618.5163000009197,618.5163000009197,618.5163000009197,618.5163000009197,4.0,0.0031903944183578415,0.0,620,620,620,620,620,620,620,620,620,620,620
